Big Toe Pose,Padangusthasana
Boat Pose,Navasana
Bound Angle Pose,Baddha Konasana
Bow Pose,Dhanurasana
Bridge Pose,Dwi Pada Pitham or Setu Bandha Sarvangasana
Camel Pose,Ustrasana
Cat Pose,Marjaryasana
Chair Pose,Utkatasana
Child's Pose,Balasana
Cobra Pose,Bhujangasana
Conqueror Breath,Ujjayi Pranayama
Corpse Pose,Savasana
Cow Face Pose,Gomukhasana or Halasana
Cow Pose,Bitilasana
Crab Pose,Catuspadapitham
"Crane Pose, Crow Pose",Bakasana
Downward Facing Dog,Adho Mukha Svanasana
Eagle Pose,Garudasana
Easy Pose,"Sukasana, Sukhasana"
Equal Standing Pose,Samasthiti
Extended Puppy Pose,Uttana Shishosana
Extended Side Angle Pose,Utthita Parsvakonasana
Extended Triangle Pose,Utthita Trikonasana
Fire Log Pose,Agnistambhasana
Firefly Pose,Tittibhasana
Fish Pose,Matsyasana
Four Limbed Staff Pose,Chaturanga Dandasana
Frog Pose,Bhekasana
Garland Pose,Malasana
Gate Pose,Parighasana
Goddess Pose,Supta Baddha Konasana
Half Boat Pose,Ardha Navasana
Half Frog Pose,Ardha Bhekasana
Half Lord of the Fishes Pose,Ardha Matsyendrasana
Half Lotus Pose,Ardha Padmasana
Half Moon Pose,Ardha Chandrasana
Handstand,Adho Mukha Vrksasana
Happy Baby Pose,Ananda Balasana
"Headstand Pose, Supported Headstand",Salamba Sirsasana
Hero Pose,Virasana
Heron Pose,Krounchasana
"Intense Side Stretch Pose, Pyramid Pose",Parsvottonasana
"King Dancer Pose, Lord of the Dance Pose",Natarajasana
King Pigeon Pose,Kapotasana
Knees to chest pose,"Apanasana, Supta Balasana"
Legs Up the Wall Pose,Viparita Karani
Lion Pose,Simhasana
Lizard Pose,Utthan Pristhasana
Locust Pose,"Salambhasana, Shalabasana"
Lotus Pose,Padmasana
"Low Lunge, Crescent Pose",Anjaneyasana
Marichi's Pose I,Marichyasana I
Marichi's Pose II,Marichyasana II
Marichi's Pose III,Marichyasana III
"Marichi's Pose III, Seated twist",Parivrtta Marichyasana
Monkey Pose,Hanumanasana
Mountain Pose,Tadasana
Noose Pose,Pasasana
One Legged Pigeon Pose,Eka Pada Kapotasana
One-Legged King Pigeon Pose,Eka Pada Rajakapotasana
One-Legged King Pigeon Pose II,Eka Pada Rajakapotasana II
Peacock Pose,Mayurasana
Raised Hands Pose,Urdhva Hastasana
Reclined Big Toe Pose,Supta Padangusthasana
Reclining Bound Angle Pose,Supta Baddha Konasana
Reverse Warrior Pose,Viparita Virabhadrasana
Revolved Half Moon Pose,Parivrtta Ardha Chandrasana
Revolved Head-to-Knee Pose,Parivrtta Janu Sirsasana
Revolved Side Angle Pose,Parivrtta Parsvakonasana
Revolved Triangle Pose,Parivrtta Trikonasana
Salutation Seal,Anjali Mudra
Scorpion Pose,Vrschikasana
Seated Forward Bend,Paschimottanasana
Shoulderstand,Salamba Sarvangasana
Side angle Pose,Parsvakonasana
"Side Crane Pose, Side Crow Pose",Parsva Bakasana
Side Plank Pose,Vasisthasana
Side Reclining Leg Lift,Anantasana
Sideways Facing Forward Bend Pose,Parsva Uttanasana
Simple Twist Pose,Parivrtta Sukhasana
Staff Pose,Dandasana
Standing Big Toe Pose,Utthita Hasta Padangusthasana
Standing Forward Bend,Uttanasana
Standing Half Forward Bend,Ardha Uttanasana
Standing Split Pose,Urdhva Prasarita Eka Padasana
Standing Straddle Forward Bend,Prasarita Padottanasana
Supine Spinal Twist,Supta Matsyendrasana
Supported Shoulderstand,Salamba Sarvangasana
Table to Child Pose,Chakravakasana
Threading the Needle,Sucirandhrasana
Tree Pose,Vrksasana
Triangle Pose,Trikonasana
Upward Abdominal Lock,Uddiyana Bandha
Upward Bow or Wheel Pose,Urdhva Dhanurasana
Upward Facing Dog Pose,Urdhva Mukha Svanasana
Upward Facing Two-Foot Staff Pose,Dwi Pada Viparita Dandasana
Upward Plank Pose,Purvottanasana
Upward Salute,Urdhva Hastasana
Warrior I Pose,Virabhadrasana I
Warrior II Pose,Virabhadrasana II
Warrior III Pose,Virabhadrasana III
Wide Angle Seated Forward Bend,Upavistha Konasana
Wide-Legged Forward Bend,Prasarita Padottanasana
Yoga Head to Knee Pose,Janu Sirsasana
Yoga Rabbit Pose,Sasangasana
